#;HY 03/04;HY 04/05;HY 05/06;HY 06/07;HY 07/08;HY 08/09;TOTAL
1;0.661946147354814;0.661358895098457;0.708300877391849;0.473594152088919;0.175721556457467;0.728873338160974;0.600512116615107
2;0.710325127457511;0.665953884283255;0.712848032761805;0.575403273560943;0.0725225146314966;0.782397635060108;0.630827969398371
3;0.85655170397042;0.75661547659291;0.787977745048227;0.840158494828672;0.853570871496254;0.665284307539849;0.770651227665862
4;0.801599679739425;0.791216972241508;0.824618054837006;0.60459064306498;0.859776159642874;0.708034606797099;0.777659950082275
5;0.835189474838743;0.828293807234438;0.87439037374812;0.774644041393449;0.862066578157431;0.791014764353519;0.832270312034013
8;0.762185516151833;0.658913058799186;0.897478642914174;0.800486165890763;0.360202680254614;0.874648569122069;0.787718834630357
9;0.902055655308976;0.849470789488759;0.925351759940181;0.861755170680275;0.853852538441693;0.889748560108031;0.884800009906494
20;0.875025021019497;0.863608156979111;0.908242168966489;0.777945635887933;0.836944195504927;0.93060034261388;0.886377266650777
24;0.866533881541781;0.857908648809005;0.869041933319357;0.798690865295033;0.868605594608259;0.936207978376516;0.877945542489815
27;0.657167954774969;0.658637747371113;0.663515310223497;0.371080571879289;0.421580503139345;0.178828032464872;0.629091978887063
30;0.743959578156672;0.748228300357672;0.803206139383343;-0.532432399731862;0.875606529857415;0.924832206940936;0.805965666566356
32;0.187654523784923;0.601412599267861;0.725637093462707;-0.242992118506538;0.858807317127813;0.906285339868984;0.719130721040713
34;0.788798908508833;0.818606697945641;0.853580568394379;0.730653120968908;0.894942918880901;0.951164884406946;0.863307535427094
35;0.711494583470202;0.695984047759906;0.646026124277787;0.652794122438423;0.743462622104558;0.858723196476144;0.751158773913987
38;0.773053098725437;0.800173309390571;0.700919183520053;0.433909622535216;0.770231791660882;0.689539159327025;0.748276436108627
41;0.83405499772386;0.891245293261261;0.787771216898398;0.42117747419741;0.597773893198387;0.713514842309094;0.760569229458206
43;0.83401442079958;0.798198317904384;0.825684508110143;0.385790483799101;0.822505955786663;0.953534775979545;0.837972562963329
46;0.795029213184809;0.864902664166003;0.462001109410636;-0.571905350739896;0.233884794347104;0.838583385668706;0.715427281629588
47;0.815664639387357;0.827444867664084;0.845378001281614;0.465050937994485;0.788124655753927;0.793465837916664;0.809525533079169
49;0.441169253991499;0.891743566105821;0.844188228375463;-0.487620102642057;0.800518733150849;0.90456146627836;0.826031122065161
50;-0.0226679508127896;0.680626476798108;-2.2711881787727;-7.49841237608982;-7.73476834435946;0.375385718078269;0.155107107126666
51;0.519273319827407;0.647507105402436;0.30093362531013;-0.666613510382456;-0.342314090237387;0.490423538996632;0.425362911471307
52;0.67866873072467;0.905707773051214;0.816271140175866;-0.361567397176266;0.797881648072251;0.889860991542903;0.837687685409842
53;0.841148469447434;0.880060042638576;0.846621689443895;0.435552712083349;0.815162420476478;0.952585683609911;0.866153647700991
60;0.474649220230421;0.683732012351059;0.583037829620898;-0.101170624702581;0.398812307478128;0.562412283423737;0.605201311893177
63;0.854588572983291;0.86750673552473;0.829095857552644;0.378911147648349;0.820092547461578;0.946580208773408;0.860895463602909
67;0.746781356216133;0.807405703935811;0.767786430734115;-0.178579927221525;0.683440600291844;0.925867351250167;0.782752155617488
74;0.681667784570098;0.77806686967679;0.723285450908897;-0.504595412240747;0.58080424927967;0.898468709341453;0.733546934889348
75;0.710334032336604;0.572115691903603;0.414333138702793;-0.583483789941987;-0.466493860625532;0.664361734859563;0.573533613837936
84;0.200152779539931;0.287853237118158;-1.13768593449826;-0.272254109095097;-0.764397771921385;0.469871999036935;0.361613993685517
85;0.529519259375369;0.523231829703681;0.36210437377324;-0.0136938519888856;0.204629986099853;0.489511964635581;0.49670252955052
90;0.0538396193729759;0.0630365019418062;-0.294520166744466;-1.38279953557063;-0.358352435424161;0.0779856410138497;0.0768934338645694
93;0.521589613547971;0.425065996729852;0.509365652986196;0.074529667802003;0.27954060402473;0.349317138735048;0.464759107842079
94;0.403223673415893;0.243970096981199;0.342141516965402;-0.594482845338876;-0.325051926847741;0.372474134190903;0.347953220261093
95;0.71116541639833;0.665070416182398;0.476982189677964;0.480976392181154;0.606819273200722;0.432355306590799;0.60467344956717
96;0.314267898657982;0.247969469117582;0.225790514295399;-0.84689677290904;0.29907873949713;-0.0954581050331085;0.261529471418366
97;0.592908443837253;0.498724320193301;0.521151893240605;0.0291693924319638;0.532165815298228;0.479224028337214;0.543942949186694
98;0.154478836783096;0.0628525317863191;0.155379166356776;0.038024532454464;-0.379745617402457;0.113225887136945;0.119305119007546
99;0.458357802287756;0.385478922461902;0.497169588751026;-0.267445326719486;0.176391446386416;0.420753105762945;0.439973224289799
100;0.708548919882248;0.433875808852767;0.681072336431897;0.42458799364523;0.613622766127251;0.757037192463618;0.604557363362238
101;0.507810196968501;0.267817375777116;0.668680186334334;0.237119262622475;0.512704024450085;0.468689126747735;0.408691878695924
102;0.568888547837672;0.335852224893197;0.615153593102163;0.243246643855713;0.461429197957614;0.374146295238296;0.443347389018134
103;0.296979678433633;0.124826667076489;0.388283476484245;0.0535374316410782;0.204674086401365;0.273038015019781;0.242218698766582
105;0.517066256345566;0.355938471789047;0.554600242111754;0.0165539993274662;0.388179770252366;0.452944513261684;0.468303113759579
109;0.821170653188793;0.773726371931806;0.800853310792965;-0.203871080916823;0.649429822452633;0.848167982398001;0.780801863740173
110;0.803548219256864;0.764161357656714;0.791086806153501;-0.286085007926725;0.598306102976005;0.827609313089121;0.763852667416884
