"#";"NSEtotal";"KGEtotal";"pBIAStotal";"CORRtotal"
1;0.383633888911914;0.695426473357396;-15.2;0.738526809042149
2;0.530263373241265;0.740947078621063;-15.1;0.792984284665547
3;0.63940123784404;0.62746142999431;-18.9;0.86775467296057
4;0.613274888134024;0.81007929925859;-1.3;0.813084393887298
5;0.717645170273519;0.800012011091042;-10.7;0.862631583787374
8;0.767399655008843;0.833671313482683;-5.2;0.769466663138926
9;0.774722734975498;0.795671028296419;-14.5;0.804367480402758
20;0.840709337462313;0.909356793474552;-4.5;0.385219674064641
24;0.879136602683296;0.900083622065033;-2.7;0.592264934136527
27;0.246223675260848;0.637916729436716;9.8;0.423365336291632
30;0.765985144307581;0.847970829624493;1.3;0.643411287991543
32;0.724836004531034;0.831202403103068;3.5;0.817524558319554
34;0.881847931482194;0.934457679855796;1.3;0.663161752461963
35;0.805973187469764;0.899203786467297;-1;0.57396306407755
38;0.811652831144067;0.854988176072092;3;0.275717637660509
41;0.726959206472915;0.844729875364026;4.3;0.344854695971843
43;0.861675514635515;0.903412783685346;5.9;0.278721345852604
46;0.769678791302178;0.846533162047358;5.6;0.208076745224598
47;0.487950387587333;0.611280836658975;22.1;0.108658187632851
49;0.40420266628334;0.520774063326656;21.9;0.158639031579202
50;0.309670965218246;0.647867712863777;16.8;0.364633358578603
51;0.541036284909876;0.707725794812835;11.5;0.103078647212913
52;0.779256682034626;0.815734939988358;16.2;0.159264323831578
53;0.884731304056;0.910098738242991;6.9;0.1588912757142
60;0.612620848246478;0.532649718731532;-25.1;0.777479203592041
63;0.891338603391412;0.930112020143296;4.8;0.738526809042149
67;0.852102192068287;0.852221133213908;13.9;0.792984284665547
74;0.826230478867419;0.822784215487781;16.3;0.86775467296057
75;0.202241312354094;0.424528448734536;8.7;0.813084393887298
84;0.519067578906499;0.449506129822012;-14.1;0.862631583787374
85;0.577002358092043;0.746349109720866;13;0.769466663138926
90;0.475546717867759;0.527379658525442;24;0.804367480402758
93;-1.3177919713523;0.00915209366895475;21.6;0.385219674064641
94;0.52543136473499;0.691185577154723;21.9;0.592264934136527
95;0.513872325288975;0.745420445084749;-11.5;0.423365336291632
96;0.38358835579895;0.600854449080545;29.9;0.643411287991543
97;0.696244326108698;0.714651171865115;6.8;0.817524558319554
98;0.577393292043328;0.341284282383632;62.3;0.663161752461963
99;0.648446152925121;0.697647816126425;25.6;0.57396306407755
100;0.415016120371985;0.639193030911543;3.3;0.275717637660509
101;0.538498383176783;0.711994573390659;7.7;0.344854695971843
102;0.703408108809791;0.80928334156601;13.4;0.278721345852604
103;0.602823371818583;0.449615932144292;51;0.208076745224598
105;0.705172675984925;0.693432699310385;27.3;0.108658187632851
109;0.858878738587828;0.886974052060611;7.3;0.158639031579202
110;0.862543527321482;0.886765227796718;8.4;0.364633358578603
